userid,tran_sequence_number
U000180,TXN20250314002152
U000443,TXN20250218002153
U000346,TXN20250223002154
U000728,TXN20250109002155
U000712,TXN20250129002156
U000697,TXN20250115002157
U000631,TXN20250328002158
U000605,TXN20250221002159
U000188,TXN20250325002160
U000063,TXN20250308002161
U000085,TXN20250319002162
U000295,TXN20250110002163
U000166,TXN20250131002164
U000382,TXN20250115002165
U000160,TXN20250227002166
U000039,TXN20250308002167
U000413,TXN20250325002168
U000182,TXN20250204002169
U000298,TXN20250323002170
U000199,TXN20250201002171
U000173,TXN20250204002172
U000310,TXN20250111002173
U000807,TXN20250308002174
U000252,TXN20250327002175
U000764,TXN20250322002176
U000367,TXN20250313002177
U000688,TXN20250306002178
U000461,TXN20250322002179
U000563,TXN20250219002180
U000468,TXN20250305002181
U000160,TXN20250204002182
U000545,TXN20250208002183
U000529,TXN20250102002184
U000217,TXN20250116002185
U000420,TXN20250131002186
U000495,TXN20250115002187
U000002,TXN20250117002188
U000034,TXN20250302002189
U000075,TXN20250224002190
U000784,TXN20250314002191
U000089,TXN20250216002192
U000371,TXN20250119002193
U000099,TXN20250329002194
U000555,TXN20250110002195
U000184,TXN20250327002196
U000138,TXN20250103002197
U000065,TXN20250112002198
U000388,TXN20250122002199
U000151,TXN20250101002200
U000714,TXN20250207002201
U000413,TXN20250213002202
U000637,TXN20250212002203
U000562,TXN20250305002204
U000272,TXN20250304002205
U000846,TXN20250108002206
U000387,TXN20250218002207
U000826,TXN20250314002208
U000531,TXN20250203002209
U000097,TXN20250308002210
U000490,TXN20250216002211
U000130,TXN20250310002212
U000716,TXN20250114002213
U000436,TXN20250318002214
U000595,TXN20250320002215
U000098,TXN20250207002216
U000088,TXN20250123002217
U000313,TXN20250129002218
U000370,TXN20250214002219
U000068,TXN20250329002220
U000535,TXN20250113002221
U000642,TXN20250223002222
U000486,TXN20250220002223
U000138,TXN20250109002224
U000411,TXN20250214002225
U000714,TXN20250217002226
U000724,TXN20250119002227
U000212,TXN20250119002228
U000562,TXN20250129002229
U000529,TXN20250205002230
U000281,TXN20250324002231
U000804,TXN20250204002232
U000671,TXN20250204002233
U000120,TXN20250122002234
U000690,TXN20250330002235
U000017,TXN20250209002236
U000154,TXN20250214002237
U000589,TXN20250129002238
U000298,TXN20250322002239
U000418,TXN20250322002240
U000029,TXN20250316002241
U000681,TXN20250201002242
U000191,TXN20250128002243
U000225,TXN20250220002244
U000322,TXN20250303002245
U000149,TXN20250120002246
U000809,TXN20250208002247
U000588,TXN20250328002248
U000645,TXN20250302002249
U000030,TXN20250112002250
U000558,TXN20250310002251
U000510,TXN20250106002252
U000366,TXN20250118002253
U000575,TXN20250117002254
U000545,TXN20250309002255
U000603,TXN20250205002256
U000228,TXN20250127002257
U000609,TXN20250302002258
U000137,TXN20250121002259
U000464,TXN20250324002260
U000390,TXN20250223002261
U000147,TXN20250202002262
U000262,TXN20250302002263
U000492,TXN20250112002264
U000620,TXN20250126002265
U000721,TXN20250311002266
U000359,TXN20250324002267
U000794,TXN20250131002268
U000357,TXN20250222002269
U000659,TXN20250210002270
U000334,TXN20250323002271
U000616,TXN20250106002272
U000131,TXN20250328002273
U000778,TXN20250206002274
U000188,TXN20250323002275
U000688,TXN20250301002276
U000730,TXN20250116002277
U000564,TXN20250311002278
U000300,TXN20250212002279
U000846,TXN20250217002280
U000835,TXN20250125002281
U000061,TXN20250109002282
U000129,TXN20250222002283
U000607,TXN20250326002284
U000163,TXN20250301002285
U000073,TXN20250311002286
U000274,TXN20250318002287
U000251,TXN20250302002288
U000367,TXN20250217002289
U000451,TXN20250107002290
U000723,TXN20250117002291
U000321,TXN20250211002292
U000498,TXN20250213002293
U000046,TXN20250109002294
U000664,TXN20250129002295
U000832,TXN20250109002296
U000570,TXN20250206002297
U000734,TXN20250301002298
U000340,TXN20250221002299
U000716,TXN20250129002300
U000133,TXN20250307002301
U000184,TXN20250129002302
U000837,TXN20250225002303
U000172,TXN20250320002304
U000352,TXN20250102002305
U000022,TXN20250315002306
U000110,TXN20250314002307
U000275,TXN20250212002308
U000060,TXN20250330002309
U000255,TXN20250305002310
U000844,TXN20250315002311
U000493,TXN20250223002312
U000149,TXN20250127002313
U000065,TXN20250312002314
U000113,TXN20250109002315
U000120,TXN20250329002316
U000584,TXN20250211002317
U000187,TXN20250312002318
U000367,TXN20250220002319
U000611,TXN20250330002320
U000401,TXN20250223002321
U000403,TXN20250130002322
U000692,TXN20250221002323
U000458,TXN20250225002324
U000338,TXN20250322002325
U000020,TXN20250109002326
U000457,TXN20250201002327
U000437,TXN20250216002328
U000282,TXN20250309002329
U000562,TXN20250105002330
U000821,TXN20250225002331
U000247,TXN20250131002332
U000704,TXN20250107002333
U000122,TXN20250314002334
U000215,TXN20250320002335
U000225,TXN20250212002336
U000227,TXN20250329002337
U000196,TXN20250315002338
U000842,TXN20250110002339
U000204,TXN20250206002340
U000791,TXN20250309002341
U000798,TXN20250318002342
U000511,TXN20250107002343
U000143,TXN20250320002344
U000846,TXN20250329002345
U000369,TXN20250308002346
U000655,TXN20250123002347
U000724,TXN20250318002348
U000603,TXN20250224002349
U000122,TXN20250327002350
U000344,TXN20250123002351
U000832,TXN20250331002352
U000484,TXN20250105002353
U000031,TXN20250219002354
U000838,TXN20250124002355
U000152,TXN20250130002356
U000351,TXN20250113002357
U000499,TXN20250309002358
U000401,TXN20250221002359
U000408,TXN20250304002360
U000030,TXN20250218002361
U000383,TXN20250121002362
U000178,TXN20250318002363
U000469,TXN20250322002364
U000218,TXN20250308002365
U000363,TXN20250218002366
U000767,TXN20250225002367
U000707,TXN20250121002368
U000551,TXN20250324002369
U000479,TXN20250120002370
U000365,TXN20250227002371
U000130,TXN20250122002372
U000393,TXN20250329002373
U000137,TXN20250217002374
U000686,TXN20250127002375
U000210,TXN20250320002376
U000125,TXN20250118002377
U000329,TXN20250303002378
U000534,TXN20250218002379
U000194,TXN20250322002380
U000257,TXN20250104002381
U000513,TXN20250320002382
U000557,TXN20250331002383
U000072,TXN20250218002384
U000052,TXN20250319002385
U000591,TXN20250322002386
U000759,TXN20250126002387
U000822,TXN20250210002388
U000731,TXN20250124002389
U000140,TXN20250121002390
U000469,TXN20250305002391
U000201,TXN20250127002392
U000659,TXN20250326002393
U000399,TXN20250227002394
U000319,TXN20250205002395
U000600,TXN20250331002396
U000666,TXN20250107002397
U000828,TXN20250314002398
U000295,TXN20250201002399
U000146,TXN20250315002400
U000757,TXN20250114002401
U000412,TXN20250311002402
U000206,TXN20250111002403
U000227,TXN20250212002404
U000390,TXN20250217002405
U000625,TXN20250131002406
U000737,TXN20250206002407
U000733,TXN20250328002408
U000618,TXN20250108002409
U000822,TXN20250107002410
U000019,TXN20250207002411
U000706,TXN20250211002412
U000461,TXN20250226002413
U000297,TXN20250107002414
U000159,TXN20250116002415
U000072,TXN20250321002416
U000623,TXN20250123002417
U000277,TXN20250215002418
U000020,TXN20250321002419
U000675,TXN20250224002420
U000041,TXN20250213002421
U000788,TXN20250330002422
U000706,TXN20250304002423
U000801,TXN20250306002424
U000590,TXN20250323002425
U000231,TXN20250304002426
U000488,TXN20250126002427
U000182,TXN20250316002428
U000139,TXN20250307002429
U000631,TXN20250114002430
U000167,TXN20250123002431
U000207,TXN20250104002432
U000190,TXN20250318002433
U000353,TXN20250305002434
U000432,TXN20250315002435
U000790,TXN20250306002436
U000798,TXN20250123002437
U000450,TXN20250205002438
U000580,TXN20250125002439
U000056,TXN20250328002440
U000819,TXN20250202002441
U000291,TXN20250309002442
U000270,TXN20250203002443
U000094,TXN20250119002444
U000010,TXN20250211002445
U000264,TXN20250221002446
U000746,TXN20250312002447
U000710,TXN20250301002448
U000212,TXN20250219002449
U000006,TXN20250219002450
U000415,TXN20250115002451
U000733,TXN20250319002452
U000241,TXN20250328002453
U000564,TXN20250318002454
U000754,TXN20250312002455
U000270,TXN20250112002456
U000588,TXN20250201002457
U000144,TXN20250108002458
U000411,TXN20250203002459
U000753,TXN20250105002460
U000270,TXN20250210002461
U000204,TXN20250120002462
U000574,TXN20250129002463
U000129,TXN20250104002464
U000380,TXN20250125002465
U000591,TXN20250119002466
U000261,TXN20250108002467
U000723,TXN20250330002468
U000200,TXN20250123002469
U000271,TXN20250104002470
U000070,TXN20250123002471
U000255,TXN20250111002472
U000257,TXN20250126002473
U000053,TXN20250324002474
U000104,TXN20250308002475
U000230,TXN20250213002476
U000846,TXN20250220002477
U000004,TXN20250129002478
U000118,TXN20250116002479
U000588,TXN20250202002480
U000183,TXN20250116002481
U000556,TXN20250101002482
U000640,TXN20250128002483
U000191,TXN20250209002484
U000103,TXN20250131002485
U000267,TXN20250217002486
U000506,TXN20250218002487
U000107,TXN20250219002488
U000283,TXN20250112002489
U000565,TXN20250209002490
U000406,TXN20250213002491
U000615,TXN20250115002492
U000464,TXN20250206002493
U000286,TXN20250315002494
U000311,TXN20250313002495
U000646,TXN20250117002496
U000364,TXN20250220002497
U000834,TXN20250315002498
U000204,TXN20250125002499
U000167,TXN20250111002500
U000029,TXN20250111002501
U000474,TXN20250303002502
U000688,TXN20250209002503
U000553,TXN20250306002504
U000202,TXN20250108002505
U000373,TXN20250315002506
U000745,TXN20250129002507
U000244,TXN20250131002508
U000756,TXN20250316002509
U000698,TXN20250316002510
U000497,TXN20250323002511
U000795,TXN20250304002512
U000696,TXN20250331002513
U000240,TXN20250105002514
U000510,TXN20250224002515
U000025,TXN20250303002516
U000753,TXN20250313002517
U000531,TXN20250117002518
U000081,TXN20250225002519
U000812,TXN20250225002520
U000815,TXN20250212002521
U000337,TXN20250106002522
U000617,TXN20250119002523
U000711,TXN20250220002524
U000730,TXN20250307002525
U000636,TXN20250206002526
U000559,TXN20250228002527
U000254,TXN20250105002528
U000242,TXN20250114002529
U000134,TXN20250222002530
U000616,TXN20250129002531
U000204,TXN20250303002532
U000786,TXN20250218002533
U000372,TXN20250101002534
U000291,TXN20250111002535
U000332,TXN20250107002536
U000369,TXN20250206002537
U000291,TXN20250127002538
U000154,TXN20250302002539
U000256,TXN20250110002540
U000571,TXN20250301002541
U000716,TXN20250319002542
U000666,TXN20250217002543
U000607,TXN20250118002544
U000558,TXN20250114002545
U000474,TXN20250119002546
U000151,TXN20250331002547
U000236,TXN20250113002548
U000218,TXN20250105002549
U000149,TXN20250104002550
U000471,TXN20250212002551
U000668,TXN20250219002552
U000535,TXN20250306002553
U000180,TXN20250123002554
U000073,TXN20250131002555
U000279,TXN20250219002556
U000694,TXN20250126002557
U000539,TXN20250302002558
U000140,TXN20250316002559
U000575,TXN20250109002560
U000366,TXN20250126002561
U000066,TXN20250121002562
U000655,TXN20250204002563
U000450,TXN20250212002564
U000614,TXN20250130002565
U000836,TXN20250122002566
U000330,TXN20250129002567
U000748,TXN20250126002568
U000455,TXN20250223002569
U000192,TXN20250302002570
U000430,TXN20250213002571
U000662,TXN20250119002572
U000400,TXN20250304002573
U000017,TXN20250318002574
U000421,TXN20250114002575
U000184,TXN20250201002576
U000238,TXN20250220002577
U000574,TXN20250320002578
U000152,TXN20250122002579
U000100,TXN20250226002580
U000431,TXN20250106002581
U000825,TXN20250306002582
U000006,TXN20250121002583
U000580,TXN20250214002584
U000340,TXN20250217002585
U000786,TXN20250220002586
U000319,TXN20250119002587
U000758,TXN20250227002588
U000471,TXN20250127002589
U000679,TXN20250323002590
U000161,TXN20250327002591
U000753,TXN20250125002592
U000380,TXN20250302002593
U000766,TXN20250110002594
U000046,TXN20250104002595
U000041,TXN20250123002596
U000638,TXN20250110002597
U000775,TXN20250109002598
U000445,TXN20250123002599
U000230,TXN20250316002600
U000353,TXN20250216002601
U000776,TXN20250307002602
U000216,TXN20250106002603
U000235,TXN20250110002604
U000135,TXN20250111002605
U000600,TXN20250313002606
U000068,TXN20250314002607
U000758,TXN20250320002608
U000682,TXN20250221002609
U000510,TXN20250109002610
U000112,TXN20250118002611
U000191,TXN20250129002612
U000026,TXN20250325002613
U000060,TXN20250306002614
U000132,TXN20250220002615
U000174,TXN20250228002616
U000466,TXN20250328002617
U000423,TXN20250108002618
U000833,TXN20250322002619
U000576,TXN20250313002620
U000167,TXN20250318002621
U000487,TXN20250117002622
U000810,TXN20250209002623
U000751,TXN20250123002624
U000368,TXN20250331002625
U000746,TXN20250126002626
U000517,TXN20250112002627
U000776,TXN20250126002628
U000800,TXN20250307002629
U000430,TXN20250304002630
U000292,TXN20250313002631
U000300,TXN20250227002632
U000522,TXN20250119002633
U000419,TXN20250102002634
U000148,TXN20250207002635
U000221,TXN20250202002636
U000846,TXN20250224002637
U000759,TXN20250207002638
U000256,TXN20250106002639
U000325,TXN20250221002640
U000084,TXN20250328002641
U000469,TXN20250128002642
U000379,TXN20250205002643
U000150,TXN20250106002644
U000275,TXN20250306002645
U000770,TXN20250101002646
U000122,TXN20250313002647
U000123,TXN20250111002648
U000812,TXN20250125002649
U000189,TXN20250206002650
U000704,TXN20250312002651
U000699,TXN20250219002652
U000293,TXN20250302002653
U000839,TXN20250331002654
U000169,TXN20250113002655
U000523,TXN20250326002656
U000252,TXN20250122002657
U000363,TXN20250215002658
U000307,TXN20250129002659
U000168,TXN20250115002660
U000667,TXN20250207002661
U000779,TXN20250206002662
U000387,TXN20250308002663
U000701,TXN20250109002664
U000806,TXN20250228002665
U000475,TXN20250215002666
U000526,TXN20250315002667
U000489,TXN20250218002668
U000024,TXN20250213002669
U000247,TXN20250302002670
U000186,TXN20250303002671
U000353,TXN20250215002672
U000167,TXN20250125002673
U000815,TXN20250305002674
U000572,TXN20250212002675
U000759,TXN20250215002676
U000346,TXN20250124002677
U000071,TXN20250213002678
U000168,TXN20250318002679
U000588,TXN20250120002680
U000595,TXN20250101002681
U000224,TXN20250315002682
U000414,TXN20250118002683
U000753,TXN20250129002684
U000060,TXN20250211002685
U000368,TXN20250120002686
U000276,TXN20250218002687
U000782,TXN20250302002688
U000405,TXN20250119002689
U000396,TXN20250324002690
U000601,TXN20250322002691
U000152,TXN20250118002692
U000458,TXN20250316002693
U000132,TXN20250328002694
U000707,TXN20250319002695
U000491,TXN20250109002696
U000699,TXN20250210002697
U000571,TXN20250120002698
U000305,TXN20250110002699
U000330,TXN20250326002700
U000616,TXN20250102002701
U000686,TXN20250306002702
U000297,TXN20250111002703
U000710,TXN20250307002704
U000223,TXN20250224002705
U000145,TXN20250202002706
U000749,TXN20250116002707
U000648,TXN20250224002708
U000605,TXN20250205002709
U000804,TXN20250324002710
U000411,TXN20250205002711
U000792,TXN20250116002712
U000477,TXN20250116002713
U000404,TXN20250208002714
U000390,TXN20250203002715
U000703,TXN20250227002716
U000181,TXN20250103002717
U000159,TXN20250206002718
U000238,TXN20250324002719
U000483,TXN20250213002720
U000639,TXN20250315002721
U000520,TXN20250203002722
U000101,TXN20250224002723
U000430,TXN20250221002724
U000753,TXN20250316002725
U000471,TXN20250326002726
U000102,TXN20250328002727
U000406,TXN20250108002728
U000707,TXN20250123002729
U000201,TXN20250203002730
U000078,TXN20250303002731
U000786,TXN20250202002732
U000591,TXN20250201002733
U000103,TXN20250208002734
U000641,TXN20250324002735
U000707,TXN20250328002736
U000036,TXN20250211002737
U000845,TXN20250220002738
U000768,TXN20250217002739
U000638,TXN20250105002740
U000659,TXN20250322002741
U000100,TXN20250208002742
U000836,TXN20250214002743
U000382,TXN20250322002744
U000716,TXN20250114002745
U000520,TXN20250305002746
U000013,TXN20250103002747
U000829,TXN20250121002748
U000471,TXN20250315002749
U000091,TXN20250126002750
U000003,TXN20250111002751
U000409,TXN20250308002752
U000458,TXN20250225002753
U000133,TXN20250304002754
U000531,TXN20250101002755
U000262,TXN20250305002756
U000778,TXN20250130002757
U000558,TXN20250104002758
U000585,TXN20250308002759
U000081,TXN20250124002760
U000782,TXN20250123002761
U000341,TXN20250118002762
U000752,TXN20250324002763
U000165,TXN20250202002764
U000552,TXN20250312002765
U000417,TXN20250102002766
U000339,TXN20250217002767
U000066,TXN20250204002768
U000134,TXN20250316002769
U000702,TXN20250318002770
U000692,TXN20250227002771
U000664,TXN20250222002772
U000548,TXN20250219002773
U000316,TXN20250301002774
U000160,TXN20250315002775
U000060,TXN20250306002776
U000478,TXN20250117002777
U000173,TXN20250102002778
U000732,TXN20250128002779
U000366,TXN20250301002780
U000632,TXN20250203002781
U000131,TXN20250309002782
U000296,TXN20250209002783
U000592,TXN20250125002784
U000616,TXN20250223002785
U000287,TXN20250325002786
U000010,TXN20250303002787
U000138,TXN20250119002788
U000406,TXN20250318002789
U000143,TXN20250323002790
U000673,TXN20250204002791
U000452,TXN20250315002792
U000418,TXN20250223002793
U000094,TXN20250214002794
U000569,TXN20250111002795
U000085,TXN20250317002796
U000712,TXN20250320002797
U000509,TXN20250205002798
U000752,TXN20250203002799
U000751,TXN20250106002800
U000627,TXN20250330002801
U000617,TXN20250105002802
U000340,TXN20250112002803
U000041,TXN20250315002804
U000607,TXN20250127002805
U000045,TXN20250221002806
U000245,TXN20250111002807
U000232,TXN20250325002808
U000531,TXN20250126002809
U000299,TXN20250118002810
U000279,TXN20250318002811
U000238,TXN20250224002812
U000606,TXN20250117002813
U000308,TXN20250125002814
U000713,TXN20250314002815
U000176,TXN20250116002816
U000600,TXN20250316002817
U000006,TXN20250127002818
U000366,TXN20250120002819
U000162,TXN20250217002820
U000280,TXN20250112002821
U000765,TXN20250110002822
U000167,TXN20250225002823
U000816,TXN20250312002824
U000090,TXN20250117002825
U000085,TXN20250131002826
U000230,TXN20250312002827
U000120,TXN20250204002828
U000257,TXN20250117002829
U000568,TXN20250121002830
U000292,TXN20250102002831
U000004,TXN20250102002832
U000804,TXN20250129002833
U000746,TXN20250215002834
U000506,TXN20250225002835
U000056,TXN20250304002836
U000459,TXN20250226002837
U000201,TXN20250114002838
U000213,TXN20250329002839
U000131,TXN20250327002840
U000062,TXN20250210002841
U000835,TXN20250314002842
U000741,TXN20250109002843
U000605,TXN20250104002844
U000568,TXN20250329002845
U000711,TXN20250210002846
U000136,TXN20250218002847
U000707,TXN20250213002848
U000723,TXN20250315002849
U000188,TXN20250324002850
U000616,TXN20250114002851
U000471,TXN20250117002852
U000034,TXN20250127002853
U000419,TXN20250117002854
U000822,TXN20250111002855
U000053,TXN20250330002856
U000706,TXN20250110002857
U000482,TXN20250304002858
U000690,TXN20250105002859
U000303,TXN20250219002860
U000481,TXN20250204002861
U000252,TXN20250213002862
U000162,TXN20250310002863
U000267,TXN20250116002864
U000199,TXN20250311002865
U000303,TXN20250203002866
U000760,TXN20250305002867
U000848,TXN20250330002868
U000500,TXN20250218002869
U000784,TXN20250118002870
U000395,TXN20250223002871
U000006,TXN20250115002872
U000159,TXN20250326002873
U000569,TXN20250319002874
U000652,TXN20250228002875
U000234,TXN20250102002876
U000196,TXN20250127002877
U000665,TXN20250325002878
U000530,TXN20250105002879
U000452,TXN20250310002880
U000560,TXN20250214002881
U000583,TXN20250325002882
U000099,TXN20250105002883
U000705,TXN20250117002884
U000766,TXN20250306002885
U000424,TXN20250303002886
U000433,TXN20250228002887
U000380,TXN20250212002888
U000769,TXN20250322002889
U000794,TXN20250304002890
U000825,TXN20250112002891
U000257,TXN20250118002892
U000370,TXN20250201002893
U000610,TXN20250306002894
U000349,TXN20250322002895
U000170,TXN20250108002896
U000347,TXN20250124002897
U000305,TXN20250331002898
U000398,TXN20250217002899
U000163,TXN20250313002900
U000476,TXN20250316002901
U000017,TXN20250217002902
U000728,TXN20250123002903
U000756,TXN20250110002904
U000759,TXN20250221002905
U000621,TXN20250216002906
U000799,TXN20250322002907
U000387,TXN20250220002908
U000245,TXN20250219002909
U000567,TXN20250204002910
U000684,TXN20250224002911
U000163,TXN20250306002912
U000832,TXN20250303002913
U000241,TXN20250212002914
U000116,TXN20250124002915
U000240,TXN20250223002916
U000602,TXN20250218002917
U000207,TXN20250329002918
U000820,TXN20250218002919
U000152,TXN20250225002920
U000436,TXN20250225002921
U000571,TXN20250115002922
U000151,TXN20250324002923
U000426,TXN20250302002924
U000107,TXN20250330002925
U000329,TXN20250324002926
U000077,TXN20250201002927
U000050,TXN20250323002928
U000747,TXN20250213002929
U000627,TXN20250205002930
U000280,TXN20250125002931
U000250,TXN20250124002932
U000803,TXN20250323002933
U000449,TXN20250326002934
U000663,TXN20250207002935
U000606,TXN20250303002936
U000245,TXN20250207002937
U000463,TXN20250105002938
U000430,TXN20250325002939
U000662,TXN20250302002940
U000095,TXN20250316002941
U000252,TXN20250106002942
U000177,TXN20250111002943
U000017,TXN20250310002944
U000409,TXN20250310002945
U000284,TXN20250317002946
U000546,TXN20250127002947
U000364,TXN20250307002948
U000452,TXN20250223002949
U000123,TXN20250119002950
U000329,TXN20250314002951
U000816,TXN20250211002952
U000819,TXN20250301002953
U000575,TXN20250314002954
U000200,TXN20250212002955
U000784,TXN20250215002956
U000470,TXN20250216002957
U000682,TXN20250330002958
U000571,TXN20250324002959
U000541,TXN20250205002960
U000772,TXN20250217002961
U000613,TXN20250324002962
U000179,TXN20250207002963
U000350,TXN20250305002964
U000816,TXN20250121002965
U000177,TXN20250330002966
U000201,TXN20250201002967
U000572,TXN20250320002968
U000370,TXN20250303002969
U000778,TXN20250111002970
U000262,TXN20250101002971
U000040,TXN20250109002972
U000255,TXN20250208002973
U000763,TXN20250202002974
U000713,TXN20250225002975
U000808,TXN20250122002976
U000265,TXN20250110002977
U000189,TXN20250206002978
U000800,TXN20250214002979
U000043,TXN20250108002980
U000261,TXN20250206002981
U000073,TXN20250314002982
U000559,TXN20250119002983
U000763,TXN20250210002984
U000719,TXN20250325002985
U000011,TXN20250118002986
U000501,TXN20250107002987
U000690,TXN20250124002988
U000290,TXN20250115002989
U000399,TXN20250331002990
U000329,TXN20250304002991
U000179,TXN20250312002992
U000620,TXN20250115002993
U000755,TXN20250127002994
U000387,TXN20250130002995
U000755,TXN20250228002996
U000611,TXN20250123002997
U000357,TXN20250124002998
U000444,TXN20250116002999
U000711,TXN20250214003000
U000332,TXN20250324003001
U000278,TXN20250209003002
U000034,TXN20250106003003
U000312,TXN20250220003004
U000665,TXN20250122003005
U000076,TXN20250113003006
U000761,TXN20250206003007
U000607,TXN20250304003008
U000314,TXN20250102003009
U000210,TXN20250223003010
U000361,TXN20250112003011
U000789,TXN20250322003012
U000839,TXN20250322003013
U000249,TXN20250303003014
U000421,TXN20250319003015
U000129,TXN20250206003016
U000221,TXN20250206003017
U000370,TXN20250311003018
U000149,TXN20250302003019
U000125,TXN20250320003020
U000250,TXN20250221003021
U000108,TXN20250121003022
U000042,TXN20250208003023
U000149,TXN20250222003024
U000010,TXN20250303003025
U000649,TXN20250109003026
U000411,TXN20250210003027
U000269,TXN20250114003028
U000565,TXN20250216003029
U000396,TXN20250220003030
U000135,TXN20250323003031
U000610,TXN20250223003032
U000199,TXN20250118003033
U000462,TXN20250328003034
U000260,TXN20250127003035
U000289,TXN20250313003036
U000808,TXN20250320003037
U000134,TXN20250327003038
U000686,TXN20250124003039
U000510,TXN20250314003040
U000152,TXN20250318003041
U000317,TXN20250124003042
U000542,TXN20250304003043
U000299,TXN20250108003044
U000266,TXN20250325003045
U000623,TXN20250203003046
U000435,TXN20250331003047
U000705,TXN20250324003048
U000817,TXN20250102003049
U000114,TXN20250213003050
U000745,TXN20250227003051
U000139,TXN20250118003052
U000707,TXN20250118003053
U000419,TXN20250113003054
U000131,TXN20250315003055
U000819,TXN20250328003056
U000170,TXN20250321003057
U000217,TXN20250319003058
U000390,TXN20250113003059
U000132,TXN20250115003060
U000579,TXN20250320003061
U000044,TXN20250203003062
U000507,TXN20250312003063
U000468,TXN20250228003064
U000355,TXN20250324003065
U000185,TXN20250204003066
U000420,TXN20250327003067
U000063,TXN20250211003068
U000576,TXN20250304003069
U000368,TXN20250217003070
U000818,TXN20250128003071
U000749,TXN20250125003072
U000088,TXN20250114003073
U000538,TXN20250214003074
U000454,TXN20250319003075
U000575,TXN20250320003076
U000341,TXN20250220003077
U000413,TXN20250131003078
U000021,TXN20250314003079
U000125,TXN20250214003080
U000009,TXN20250217003081
U000124,TXN20250117003082
U000118,TXN20250318003083
U000745,TXN20250209003084
U000450,TXN20250304003085
U000619,TXN20250319003086
U000504,TXN20250323003087
U000801,TXN20250107003088
U000832,TXN20250326003089
U000026,TXN20250207003090
U000831,TXN20250124003091
U000586,TXN20250325003092
U000762,TXN20250205003093
U000742,TXN20250109003094
U000494,TXN20250131003095
U000575,TXN20250211003096
U000592,TXN20250223003097
U000191,TXN20250330003098
U000513,TXN20250322003099
U000361,TXN20250202003100
U000780,TXN20250212003101
U000039,TXN20250228003102
U000587,TXN20250227003103
U000105,TXN20250323003104
U000303,TXN20250115003105
U000131,TXN20250316003106
U000468,TXN20250301003107
U000211,TXN20250220003108
U000129,TXN20250214003109
U000614,TXN20250122003110
U000419,TXN20250312003111
U000038,TXN20250106003112
U000221,TXN20250311003113
U000706,TXN20250216003114
U000559,TXN20250202003115
U000201,TXN20250104003116
U000617,TXN20250317003117
U000332,TXN20250217003118
U000062,TXN20250329003119
U000724,TXN20250304003120
U000663,TXN20250319003121
U000046,TXN20250126003122
U000330,TXN20250118003123
U000184,TXN20250202003124
U000684,TXN20250131003125
U000260,TXN20250325003126
U000418,TXN20250326003127
U000333,TXN20250225003128
U000226,TXN20250321003129
U000750,TXN20250123003130
U000585,TXN20250323003131
U000571,TXN20250319003132
U000543,TXN20250225003133
U000201,TXN20250120003134
U000728,TXN20250319003135
U000335,TXN20250303003136
U000157,TXN20250320003137
U000702,TXN20250316003138
U000148,TXN20250305003139
U000541,TXN20250322003140
U000220,TXN20250123003141
U000824,TXN20250118003142
U000124,TXN20250213003143
U000307,TXN20250127003144
U000303,TXN20250307003145
U000597,TXN20250208003146
U000030,TXN20250219003147
U000426,TXN20250102003148
U000001,TXN20250302003149
U000656,TXN20250211003150
U000244,TXN20250328003151
U000412,TXN20250226003152
U000543,TXN20250112003153
U000724,TXN20250227003154
U000112,TXN20250126003155
U000809,TXN20250208003156
U000253,TXN20250211003157
U000445,TXN20250304003158
U000039,TXN20250305003159
U000829,TXN20250306003160
U000213,TXN20250316003161
U000787,TXN20250220003162
U000161,TXN20250217003163
U000122,TXN20250108003164
U000565,TXN20250303003165
U000677,TXN20250308003166
U000612,TXN20250108003167
U000722,TXN20250302003168
U000850,TXN20250117003169
U000155,TXN20250109003170
U000098,TXN20250101003171
U000810,TXN20250124003172
U000103,TXN20250218003173
U000335,TXN20250124003174
U000588,TXN20250110003175
U000447,TXN20250316003176
U000593,TXN20250316003177
U000263,TXN20250311003178
U000690,TXN20250102003179
U000593,TXN20250117003180
U000346,TXN20250328003181
U000078,TXN20250109003182
U000035,TXN20250216003183
U000574,TXN20250130003184
U000441,TXN20250123003185
U000117,TXN20250107003186
U000125,TXN20250328003187
U000792,TXN20250214003188
U000625,TXN20250228003189
U000176,TXN20250309003190
U000630,TXN20250105003191
U000179,TXN20250222003192
U000507,TXN20250125003193
U000777,TXN20250118003194
U000019,TXN20250126003195
U000198,TXN20250204003196
U000263,TXN20250223003197
U000397,TXN20250321003198
U000051,TXN20250207003199
U000373,TXN20250213003200
U000574,TXN20250322003201
U000351,TXN20250213003202
U000397,TXN20250329003203
U000639,TXN20250204003204
U000825,TXN20250217003205
U000599,TXN20250220003206
U000685,TXN20250222003207
U000731,TXN20250311003208
U000102,TXN20250131003209
U000657,TXN20250223003210
U000190,TXN20250225003211
U000142,TXN20250311003212
U000276,TXN20250204003213
U000705,TXN20250226003214
U000833,TXN20250227003215
U000326,TXN20250116003216
U000269,TXN20250202003217
U000756,TXN20250202003218
U000418,TXN20250107003219
U000580,TXN20250214003220
U000808,TXN20250125003221
U000708,TXN20250105003222
U000499,TXN20250326003223
U000229,TXN20250313003224
U000194,TXN20250126003225
U000188,TXN20250329003226
U000480,TXN20250321003227
